geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
86000US33180,"33180",14485,548,9457,543,5028,463
86000US33181,"33181",7627,399,2991,306,4636,440
86000US33182,"33182",3771,107,3258,176,513,151
86000US33183,"33183",11794,253,7415,440,4379,358
86000US33184,"33184",6065,320,4609,341,1456,272
86000US33185,"33185",8187,255,6943,314,1244,268
86000US33186,"33186",21439,504,14235,537,7204,510
86000US33187,"33187",5323,259,4612,332,711,231
86000US33189,"33189",7897,404,4801,382,3096,325
86000US33190,"33190",4675,244,2043,257,2632,237
86000US33193,"33193",14427,251,8920,439,5507,430
86000US33194,"33194",1428,197,1157,226,271,141
86000US33196,"33196",14504,298,9647,426,4857,428
86000US33301,"33301",7768,472,3547,309,4221,468
86000US33304,"33304",9549,429,3396,347,6153,413
86000US33305,"33305",6313,361,4052,324,2261,289
86000US33306,"33306",1708,190,1041,134,667,152
86000US33308,"33308",15194,532,10352,510,4842,416
86000US33309,"33309",13402,502,8071,536,5331,408
86000US33311,"33311",23494,673,9716,488,13778,615
86000US33312,"33312",17943,550,10258,690,7685,597
86000US33313,"33313",19959,622,8514,495,11445,721
86000US33314,"33314",9244,329,3814,268,5430,353
86000US33315,"33315",6068,364,3376,331,2692,381
86000US33316,"33316",5061,396,3120,312,1941,237
86000US33317,"33317",12668,435,9514,500,3154,406
86000US33319,"33319",18315,579,11797,632,6518,555
86000US33321,"33321",19526,636,14337,735,5189,542
86000US33322,"33322",16678,520,13709,546,2969,340
86000US33323,"33323",7338,305,5205,244,2133,291
86000US33324,"33324",19037,551,10614,574,8423,536
86000US33325,"33325",9137,328,7126,313,2011,246
86000US33326,"33326",10794,414,7473,357,3321,348
86000US33327,"33327",6501,310,4880,407,1621,371
86000US33328,"33328",10151,441,7817,419,2334,295
86000US33330,"33330",4615,240,4236,279,379,145
86000US33331,"33331",7417,324,6446,349,971,175
86000US33332,"33332",3173,266,2875,262,298,133
86000US33334,"33334",12169,526,6541,467,5628,409
86000US33351,"33351",11948,309,6410,386,5538,393
86000US33401,"33401",11406,468,4419,316,6987,419
86000US33403,"33403",4208,269,2042,263,2166,248
86000US33404,"33404",9981,420,5289,357,4692,328
86000US33405,"33405",6992,344,4222,286,2770,326
86000US33406,"33406",8776,314,5774,329,3002,307
86000US33407,"33407",10733,335,4422,283,6311,359
86000US33408,"33408",9118,279,7134,291,1984,266
86000US33409,"33409",10947,354,4856,304,6091,338
86000US33410,"33410",14383,436,9863,418,4520,400
86000US33411,"33411",24555,543,18042,656,6513,489
86000US33412,"33412",5390,184,4776,230,614,172
86000US33413,"33413",5038,268,3313,315,1725,269
86000US33414,"33414",19749,564,14348,576,5401,482
86000US33415,"33415",16586,381,9131,433,7455,448
86000US33417,"33417",14347,479,7886,465,6461,459
86000US33418,"33418",16963,495,13538,459,3425,308
86000US33426,"33426",9967,422,5906,380,4061,365
86000US33428,"33428",13836,319,9756,357,4080,336
86000US33430,"33430",7498,502,2259,280,5239,377
86000US33431,"33431",7974,384,5423,344,2551,346
86000US33432,"33432",10547,470,6636,390,3911,351
86000US33433,"33433",18298,611,12978,515,5320,520
86000US33434,"33434",9849,343,8114,350,1735,227
86000US33435,"33435",13696,505,8032,447,5664,363
86000US33436,"33436",17333,514,12548,455,4785,376
86000US33437,"33437",18312,507,15962,487,2350,330
86000US33438,"33438",105,52,96,50,9,14
86000US33440,"33440",6496,378,4221,448,2275,385
86000US33441,"33441",11104,427,5630,345,5474,387
86000US33442,"33442",13802,497,9247,497,4555,397
86000US33444,"33444",8705,346,4528,347,4177,317
86000US33445,"33445",14077,491,9257,477,4820,380
86000US33446,"33446",13456,481,11406,454,2050,318
86000US33449,"33449",3970,237,3628,260,342,153
86000US33455,"33455",9613,407,7895,402,1718,308
86000US33458,"33458",21646,563,15513,655,6133,516
86000US33460,"33460",11004,439,4691,391,6313,386
86000US33461,"33461",15080,502,7146,477,7934,480
86000US33462,"33462",12410,462,7718,460,4692,430
86000US33463,"33463",18511,458,12776,582,5735,438
86000US33467,"33467",20087,492,17364,522,2723,371
86000US33469,"33469",6593,303,5721,320,872,157
86000US33470,"33470",8159,333,7283,359,876,200
86000US33471,"33471",2208,289,1691,252,517,151
86000US33472,"33472",7967,328,7243,318,724,211
86000US33473,"33473",3969,334,3411,354,558,282
86000US33476,"33476",2665,299,921,180,1744,228
86000US33477,"33477",6990,358,5806,320,1184,184
86000US33478,"33478",4623,209,4487,227,136,81
86000US33480,"33480",5701,194,4901,255,800,187
86000US33483,"33483",6235,294,4351,310,1884,267
86000US33484,"33484",14177,424,10910,455,3267,330
86000US33486,"33486",9061,401,7108,355,1953,256
86000US33487,"33487",9332,362,7298,340,2034,301
86000US33493,"33493",483,81,255,55,228,58
86000US33496,"33496",9986,316,8681,334,1305,235
86000US33498,"33498",5250,198,4906,211,344,137
86000US33503,"33503",57,39,52,40,5,9
86000US33510,"33510",10454,350,6411,345,4043,338
86000US33511,"33511",22101,461,11189,484,10912,542
86000US33513,"33513",3660,300,2858,280,802,177
86000US33514,"33514",717,164,474,145,243,103
86000US33521,"33521",218,70,151,57,67,50
86000US33523,"33523",6612,316,4438,288,2174,267
86000US33525,"33525",7203,342,5394,306,1809,270
86000US33527,"33527",4738,269,3530,239,1208,231
86000US33534,"33534",5117,185,3343,250,1774,260
86000US33538,"33538",1983,213,1579,181,404,148
86000US33540,"33540",3803,266,2826,238,977,188
86000US33541,"33541",9319,354,7292,412,2027,344
86000US33542,"33542",10010,452,6807,405,3203,327
86000US33543,"33543",9387,268,7674,331,1713,235
86000US33544,"33544",9582,254,6827,397,2755,356
86000US33545,"33545",6124,234,4521,297,1603,253
86000US33547,"33547",7995,233,6742,304,1253,213
86000US33548,"33548",2605,162,2352,189,253,101
86000US33549,"33549",6816,280,5290,249,1526,245
86000US33556,"33556",8085,346,7173,320,912,207
86000US33558,"33558",9047,275,6288,356,2759,313
86000US33559,"33559",6743,325,4023,336,2720,343
86000US33563,"33563",9939,442,5282,325,4657,360
86000US33565,"33565",6158,250,4795,255,1363,223
86000US33566,"33566",7369,349,5307,313,2062,270
86000US33567,"33567",3741,238,2846,240,895,219
86000US33569,"33569",9801,307,7914,456,1887,371
86000US33570,"33570",9868,357,7023,345,2845,356
86000US33572,"33572",7887,266,6663,266,1224,198
86000US33573,"33573",12916,370,10395,388,2521,240
86000US33576,"33576",2132,156,1904,153,228,73
86000US33578,"33578",19848,567,11022,530,8826,589
86000US33579,"33579",11096,405,8611,519,2485,474
86000US33584,"33584",9217,382,6970,439,2247,308
86000US33585,"33585",471,100,340,109,131,54
86000US33592,"33592",3980,195,2519,210,1461,188
86000US33594,"33594",12690,380,10155,403,2535,324
86000US33596,"33596",10019,198,8733,281,1286,234
86000US33597,"33597",2633,250,2109,224,524,164
86000US33598,"33598",6138,235,4734,251,1404,238
86000US33602,"33602",8552,358,3230,279,5322,301
86000US33603,"33603",8544,260,4469,289,4075,322
86000US33604,"33604",15220,401,8094,415,7126,438
86000US33605,"33605",7092,231,2507,214,4585,249
86000US33606,"33606",8406,355,3510,301,4896,330
86000US33607,"33607",10785,386,4356,356,6429,482
86000US33609,"33609",8311,391,4627,349,3684,408
86000US33610,"33610",16240,609,6895,456,9345,659
86000US33611,"33611",14850,421,8679,390,6171,419
86000US33612,"33612",18866,447,6494,385,12372,527
86000US33613,"33613",14554,494,4403,294,10151,524
86000US33614,"33614",18397,485,7323,389,11074,563
86000US33615,"33615",17455,568,9204,447,8251,516
86000US33616,"33616",6797,275,3156,266,3641,293
86000US33617,"33617",18212,562,7071,422,11141,487
86000US33618,"33618",11512,376,7572,382,3940,399
86000US33619,"33619",13208,419,6006,382,7202,437
86000US33620,"33620",11,19,0,19,11,19
86000US33621,"33621",570,63,0,14,570,63
86000US33624,"33624",15190,391,9667,415,5523,424
86000US33625,"33625",10374,287,6832,408,3542,366
86000US33626,"33626",11519,365,7716,374,3803,343
86000US33629,"33629",10694,350,8639,356,2055,303
86000US33634,"33634",7438,316,4248,314,3190,300
86000US33635,"33635",7111,320,4444,356,2667,330
86000US33637,"33637",6429,361,2622,251,3807,347
86000US33647,"33647",24854,491,14110,481,10744,608
86000US33701,"33701",8878,427,3104,250,5774,386
86000US33702,"33702",13452,481,8516,402,4936,378
86000US33703,"33703",10843,385,8398,438,2445,342
86000US33704,"33704",7614,258,5550,248,2064,237
86000US33705,"33705",10919,454,6154,365,4765,361
86000US33706,"33706",8536,223,6475,277,2061,219
86000US33707,"33707",12127,429,8395,368,3732,356
86000US33708,"33708",8168,300,6131,311,2037,252
86000US33709,"33709",10615,436,7770,380,2845,335
86000US33710,"33710",13711,388,10540,457,3171,425
86000US33711,"33711",6969,343,4212,323,2757,352
86000US33712,"33712",9196,413,4885,319,4311,402
86000US33713,"33713",12999,413,8948,387,4051,381
86000US33714,"33714",7939,413,5121,389,2818,339
86000US33715,"33715",3690,243,3340,243,350,94
86000US33716,"33716",9309,407,1666,260,7643,433
86000US33744,"33744",0,14,0,14,0,14
86000US33755,"33755",9736,462,5260,380,4476,414
86000US33756,"33756",13584,524,7909,449,5675,487
86000US33759,"33759",7933,298,4409,305,3524,340
86000US33760,"33760",6651,265,3076,248,3575,261
86000US33761,"33761",8758,333,7081,351,1677,242
86000US33762,"33762",2693,171,1999,178,694,144
86000US33763,"33763",9298,400,6606,394,2692,320
86000US33764,"33764",11787,479,8488,470,3299,318
86000US33765,"33765",6154,263,2939,256,3215,267
86000US33767,"33767",3976,270,3255,266,721,156
86000US33770,"33770",11621,511,6692,373,4929,473
86000US33771,"33771",13404,530,7753,470,5651,434
86000US33772,"33772",9848,326,7342,300,2506,273
86000US33773,"33773",7115,293,5243,267,1872,157
86000US33774,"33774",7745,380,5549,345,2196,318
86000US33776,"33776",4964,220,4534,212,430,132
86000US33777,"33777",6803,286,5582,346,1221,239
86000US33778,"33778",5981,245,4681,239,1300,200
86000US33781,"33781",9772,403,6070,405,3702,347
86000US33782,"33782",9314,341,6849,362,2465,300
86000US33785,"33785",2878,159,2034,153,844,124
86000US33786,"33786",742,54,646,54,96,35
86000US33801,"33801",11788,434,5920,412,5868,416
86000US33803,"33803",11722,434,7122,423,4600,373
86000US33805,"33805",9041,382,4444,316,4597,340
86000US33809,"33809",11147,441,7750,381,3397,352
86000US33810,"33810",17545,500,13229,563,4316,433
86000US33811,"33811",7975,288,5762,257,2213,250
86000US33812,"33812",4328,274,3504,264,824,214
86000US33813,"33813",13055,419,10469,361,2586,337
86000US33815,"33815",5690,359,3272,318,2418,268
86000US33823,"33823",11194,367,7902,403,3292,302
86000US33825,"33825",9110,392,6429,352,2681,309
86000US33827,"33827",953,140,832,121,121,69
86000US33830,"33830",9687,434,6287,512,3400,304
86000US33834,"33834",1736,226,1074,155,662,221
86000US33837,"33837",9677,467,7466,516,2211,321
86000US33838,"33838",1193,186,686,152,507,153
86000US33839,"33839",1119,186,731,148,388,122
86000US33841,"33841",3017,230,2300,231,717,135
86000US33843,"33843",3503,223,2781,193,722,126
86000US33844,"33844",12153,582,7866,565,4287,419
86000US33847,"33847",47,19,39,21,8,9
86000US33848,"33848",169,120,98,93,71,74
86000US33849,"33849",300,98,256,98,44,54
86000US33850,"33850",3177,327,2322,326,855,229
86000US33851,"33851",350,64,323,62,27,24
86000US33852,"33852",8568,474,7060,414,1508,307
86000US33853,"33853",4082,350,2051,281,2031,322
86000US33854,"33854",188,66,95,58,93,52
86000US33855,"33855",0,14,0,14,0,14
86000US33856,"33856",191,77,0,14,191,77
86000US33857,"33857",991,224,632,209,359,164
86000US33859,"33859",4332,385,3097,299,1235,277
86000US33860,"33860",8141,356,6269,421,1872,331
86000US33865,"33865",224,84,176,83,48,44
86000US33867,"33867",166,59,166,59,0,14
86000US33868,"33868",3637,242,2999,246,638,147
86000US33870,"33870",8696,530,5365,385,3331,411
86000US33872,"33872",7211,418,5801,392,1410,234
86000US33873,"33873",4489,317,2724,335,1765,244
86000US33875,"33875",4701,357,3948,339,753,215
86000US33876,"33876",2033,242,1717,228,316,133
86000US33877,"33877",106,130,36,57,70,117
86000US33880,"33880",13686,564,8904,578,4782,486
86000US33881,"33881",13059,544,8958,535,4101,429
86000US33884,"33884",11973,482,8554,442,3419,404
86000US33890,"33890",1483,149,1167,159,316,89
86000US33896,"33896",3610,303,2128,237,1482,244
86000US33897,"33897",7009,395,4897,445,2112,406
86000US33898,"33898",6318,413,4937,378,1381,258
86000US33901,"33901",8701,360,3596,276,5105,373
86000US33903,"33903",10711,522,8457,469,2254,308
86000US33904,"33904",13395,475,10295,488,3100,276
86000US33905,"33905",11778,414,7890,351,3888,363
86000US33907,"33907",9536,398,4119,347,5417,375
86000US33908,"33908",17577,716,12628,641,4949,469
86000US33909,"33909",10215,563,6602,564,3613,490
86000US33912,"33912",7979,327,6681,294,1298,164
86000US33913,"33913",8959,387,7744,401,1215,208
86000US33914,"33914",14916,515,11526,571,3390,510
86000US33916,"33916",8553,469,3038,347,5515,386
86000US33917,"33917",12570,502,10329,484,2241,331
86000US33919,"33919",13933,401,10329,400,3604,362
86000US33920,"33920",2098,154,1893,140,205,88
86000US33921,"33921",331,115,276,98,55,52
86000US33922,"33922",1704,149,1442,157,262,86
86000US33924,"33924",45,28,34,26,11,17
86000US33928,"33928",11090,385,9566,428,1524,235
86000US33930,"33930",357,143,302,121,55,85
86000US33931,"33931",5467,256,4873,279,594,127
86000US33935,"33935",6911,468,4664,441,2247,396
86000US33936,"33936",8254,398,5088,423,3166,411
86000US33944,"33944",70,103,70,103,0,14
86000US33945,"33945",0,14,0,14,0,14
86000US33946,"33946",1083,185,978,194,105,63
86000US33947,"33947",4179,237,3541,244,638,155
86000US33948,"33948",7005,435,5663,366,1342,227
86000US33950,"33950",11663,439,9556,427,2107,244
86000US33952,"33952",13437,471,9380,500,4057,358
86000US33953,"33953",2929,312,2672,304,257,124
86000US33954,"33954",3944,324,3112,285,832,185
86000US33955,"33955",4444,291,4045,325,399,164
86000US33956,"33956",1680,214,1452,197,228,59
86000US33957,"33957",3684,135,3151,161,533,121
86000US33960,"33960",291,56,273,58,18,18
86000US33965,"33965",0,14,0,14,0,14
86000US33966,"33966",4249,378,3107,347,1142,225
86000US33967,"33967",8190,369,6143,370,2047,338
86000US33971,"33971",7396,305,5322,325,2074,257
86000US33972,"33972",4506,281,3355,308,1151,227
86000US33973,"33973",4097,205,962,167,3135,248
86000US33974,"33974",4692,244,2986,233,1706,227
86000US33976,"33976",4555,229,3172,218,1383,226
86000US33980,"33980",5775,309,4326,346,1449,210
86000US33981,"33981",4656,285,3941,308,715,180
86000US33982,"33982",4067,322,3323,346,744,218
86000US33983,"33983",5897,255,4868,268,1029,191
86000US33990,"33990",11417,451,8208,484,3209,390
86000US33991,"33991",7722,393,5964,392,1758,320
86000US33993,"33993",8588,427,6865,489,1723,332
86000US34101,"34101",0,14,0,14,0,14
86000US34102,"34102",5598,269,3993,222,1605,214
86000US34103,"34103",6115,300,4860,251,1255,221
86000US34104,"34104",10494,418,7193,410,3301,419
86000US34105,"34105",7901,474,5210,399,2691,440
86000US34108,"34108",7928,354,6452,354,1476,204
86000US34109,"34109",11064,477,6990,487,4074,503
86000US34110,"34110",11018,543,8314,403,2704,336
86000US34112,"34112",11865,532,9100,506,2765,351
86000US34113,"34113",8546,524,6048,445,2498,443
86000US34114,"34114",7882,416,6505,447,1377,272
86000US34116,"34116",9640,425,5088,349,4552,415
86000US34117,"34117",4769,236,4314,277,455,180
86000US34119,"34119",13103,613,10314,539,2789,421
86000US34120,"34120",10702,648,9313,691,1389,394
86000US34134,"34134",7622,415,6529,450,1093,220
86000US34135,"34135",19166,757,15321,781,3845,442
86000US34137,"34137",159,86,84,73,75,83
86000US34138,"34138",155,144,108,123,47,76
86000US34139,"34139",115,42,94,37,21,16
86000US34140,"34140",98,98,52,68,46,73
86000US34141,"34141",18,24,4,5,14,23
86000US34142,"34142",7088,501,3188,389,3900,384
86000US34145,"34145",8379,316,7335,379,1044,183
86000US34201,"34201",1846,223,1715,221,131,74
86000US34202,"34202",9529,416,7429,381,2100,300
86000US34203,"34203",14278,620,10646,538,3632,549
86000US34205,"34205",12313,409,7126,351,5187,372
86000US34207,"34207",14608,571,8342,507,6266,531
86000US34208,"34208",12747,421,7347,472,5400,451
86000US34209,"34209",14668,503,11202,527,3466,377
86000US34210,"34210",7084,396,4209,334,2875,322
86000US34211,"34211",3730,402,3336,339,394,212
86000US34212,"34212",7549,363,6051,376,1498,333
86000US34215,"34215",271,108,228,101,43,50
86000US34216,"34216",384,94,356,89,28,23
86000US34217,"34217",2743,192,2077,223,666,173
86000US34219,"34219",8617,303,7652,420,965,261
86000US34221,"34221",15269,656,11972,662,3297,358
86000US34222,"34222",5236,435,4205,382,1031,271
86000US34223,"34223",9209,377,7520,405,1689,221
86000US34224,"34224",7441,376,5812,333,1629,297
86000US34228,"34228",3838,118,3607,150,231,80
86000US34229,"34229",3377,275,2833,267,544,164
86000US34231,"34231",14505,490,9141,460,5364,468
86000US34232,"34232",13767,333,9659,332,4108,326
86000US34233,"34233",7891,323,5832,333,2059,280
86000US34234,"34234",8784,449,4692,371,4092,419
86000US34235,"34235",6661,347,5008,342,1653,292
86000US34236,"34236",7251,394,4418,316,2833,287
86000US34237,"34237",6916,378,3461,253,3455,336
86000US34238,"34238",10091,416,7895,436,2196,371
86000US34239,"34239",6869,291,4897,293,1972,218
86000US34240,"34240",3946,296,3740,297,206,107
86000US34241,"34241",5963,301,5125,325,838,185
86000US34242,"34242",3852,218,3288,194,564,129
86000US34243,"34243",13292,482,10226,505,3066,374
86000US34251,"34251",2028,289,1890,290,138,72
86000US34266,"34266",9972,482,6673,376,3299,337
86000US34268,"34268",88,88,40,59,48,71
86000US34269,"34269",2012,237,1705,194,307,134
86000US34275,"34275",9339,375,7692,417,1647,273
86000US34285,"34285",9900,441,7650,446,2250,275
86000US34286,"34286",6494,503,5593,612,901,406
86000US34287,"34287",11278,493,8377,445,2901,398
86000US34288,"34288",4239,468,3518,417,721,345
86000US34289,"34289",1337,404,515,256,822,354
86000US34291,"34291",1893,295,1580,291,313,120
86000US34292,"34292",7789,383,6238,360,1551,284
86000US34293,"34293",18096,597,15606,604,2490,326
86000US34420,"34420",6755,498,4729,454,2026,348
86000US34428,"34428",3993,378,2975,321,1018,252
86000US34429,"34429",3835,374,3225,319,610,204
86000US34431,"34431",3561,270,2907,285,654,253
86000US34432,"34432",5542,344,4790,323,752,238
86000US34433,"34433",2829,334,2499,310,330,203
86000US34434,"34434",3111,323,2492,300,619,205
86000US34436,"34436",3572,241,2945,262,627,153
86000US34442,"34442",6831,354,5984,364,847,245
86000US34445,"34445",0,14,0,14,0,14
86000US34446,"34446",7975,338,7060,361,915,225
86000US34448,"34448",4723,334,3778,300,945,247
86000US34449,"34449",1416,145,1020,124,396,112
86000US34450,"34450",5059,339,3700,296,1359,281
86000US34452,"34452",4852,259,4018,281,834,211
86000US34453,"34453",4337,313,3428,313,909,231
86000US34461,"34461",4469,342,3542,303,927,223
86000US34465,"34465",7948,396,6392,425,1556,269
86000US34470,"34470",7721,339,4285,304,3436,329
86000US34471,"34471",10038,547,6137,415,3901,504
86000US34472,"34472",10503,438,7412,552,3091,455
86000US34473,"34473",6729,454,5351,442,1378,437
86000US34474,"34474",7042,467,3263,371,3779,407
86000US34475,"34475",4446,341,2130,307,2316,363
86000US34476,"34476",10047,377,8934,359,1113,280
86000US34479,"34479",5068,323,3468,290,1600,307
86000US34480,"34480",6826,367,4941,411,1885,328
86000US34481,"34481",10473,455,9491,452,982,276
86000US34482,"34482",7332,521,5580,508,1752,363
86000US34484,"34484",1504,293,1043,258,461,158
86000US34488,"34488",4162,336,3153,321,1009,270
86000US34491,"34491",12236,705,10728,675,1508,366
86000US34498,"34498",272,57,207,53,65,32
86000US34601,"34601",10017,416,6940,393,3077,346
86000US34602,"34602",2735,225,2306,282,429,182
86000US34604,"34604",4104,211,3464,222,640,164
86000US34606,"34606",11749,368,8897,394,2852,331
86000US34607,"34607",3810,212,3179,227,631,143
86000US34608,"34608",13479,433,9790,487,3689,419
86000US34609,"34609",15884,358,12483,423,3401,401
86000US34610,"34610",5017,202,3963,230,1054,184
86000US34613,"34613",8511,394,7302,388,1209,218
86000US34614,"34614",2628,171,2495,188,133,71
86000US34637,"34637",2174,157,1916,185,258,127
86000US34638,"34638",9117,252,7376,387,1741,302
86000US34639,"34639",10030,331,8227,284,1803,260
86000US34652,"34652",10721,422,6334,339,4387,331
86000US34653,"34653",14829,392,9030,450,5799,365
86000US34654,"34654",8880,276,6860,334,2020,319
86000US34655,"34655",17114,470,13536,419,3578,391
86000US34661,"34661",52,48,52,48,0,14
86000US34667,"34667",15529,450,11260,448,4269,370
86000US34668,"34668",19709,465,12170,518,7539,478
86000US34669,"34669",5186,239,4145,298,1041,208
86000US34677,"34677",8729,313,6279,309,2450,300
86000US34679,"34679",33,25,16,15,17,19
86000US34681,"34681",334,171,334,171,0,14
86000US34683,"34683",13358,457,10122,422,3236,378
86000US34684,"34684",12958,395,8897,477,4061,357
86000US34685,"34685",7025,279,5316,294,1709,207
86000US34688,"34688",3096,248,2666,234,430,166
86000US34689,"34689",10814,524,7801,515,3013,338
86000US34690,"34690",5387,244,3411,243,1976,220
86000US34691,"34691",8725,394,5699,336,3026,262
86000US34695,"34695",7374,309,6091,349,1283,254
86000US34698,"34698",18136,617,12420,578,5716,520
86000US34705,"34705",964,140,766,121,198,65
86000US34711,"34711",21883,716,17117,798,4766,601
86000US34714,"34714",7830,539,3817,444,4013,624
86000US34715,"34715",5648,426,3965,423,1683,285
86000US34731,"34731",6452,331,5214,337,1238,295
86000US34734,"34734",1414,218,1199,205,215,97
86000US34736,"34736",6324,456,5091,493,1233,350
86000US34737,"34737",1133,143,915,137,218,90
86000US34739,"34739",150,84,125,86,25,29
86000US34741,"34741",15729,660,4580,423,11149,658
86000US34743,"34743",12099,448,8116,506,3983,467
86000US34744,"34744",16163,753,10005,730,6158,675
86000US34746,"34746",13137,753,8681,623,4456,670
86000US34747,"34747",8024,623,3708,421,4316,546
86000US34748,"34748",17890,522,12883,450,5007,400
86000US34753,"34753",1709,167,1341,191,368,133
86000US34756,"34756",1208,148,993,131,215,99
86000US34758,"34758",10680,687,7276,657,3404,592
86000US34759,"34759",11982,795,8878,825,3104,601
86000US34760,"34760",299,70,225,71,74,41
86000US34761,"34761",14645,691,9898,605,4747,487
86000US34762,"34762",249,125,249,125,0,14
86000US34769,"34769",8092,563,5230,434,2862,421
86000US34771,"34771",6171,435,5555,446,616,228
86000US34772,"34772",8953,455,7679,494,1274,300
86000US34773,"34773",1023,193,760,204,263,120
86000US34785,"34785",15270,638,13649,588,1621,244
86000US34786,"34786",14778,829,10595,763,4183,577
86000US34787,"34787",23543,946,17221,977,6322,668
86000US34788,"34788",8324,359,6927,365,1397,276
86000US34797,"34797",418,117,404,114,14,22
86000US34945,"34945",1432,157,1217,140,215,107
86000US34946,"34946",2397,202,1684,186,713,154
86000US34947,"34947",4294,372,1574,207,2720,339
86000US34949,"34949",4254,296,3312,297,942,228
86000US34950,"34950",5867,426,2187,326,3680,444
86000US34951,"34951",7073,476,5898,452,1175,280
86000US34952,"34952",17026,604,11517,584,5509,460
86000US34953,"34953",21839,736,17866,934,3973,709
86000US34956,"34956",2298,178,1496,182,802,159
86000US34957,"34957",11013,454,8139,458,2874,344
86000US34972,"34972",5757,322,3748,307,2009,305
86000US34974,"34974",9784,425,7673,422,2111,227
86000US34981,"34981",1754,341,1067,254,687,281
86000US34982,"34982",10000,533,7109,472,2891,357
86000US34983,"34983",13908,535,10486,704,3422,595
86000US34984,"34984",5563,272,4673,309,890,227
86000US34986,"34986",11838,692,9440,748,2398,610
86000US34987,"34987",3725,419,2757,395,968,324
86000US34990,"34990",11806,394,10290,440,1516,290
86000US34994,"34994",7438,402,4568,387,2870,341
86000US34996,"34996",5468,220,4580,257,888,219
86000US34997,"34997",17875,585,14071,601,3804,366
