,zipcode,property_tax,owner_occupied,renter_occupied,total_vacant,total_dwellings,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,fte_employed,unemployed,average_income,projected_income,expense_index,average_commute,crime_index
0,32303,1782,11051,10127,2048,23225,778,843,1024,1361,1484,24635,1615,63966,70503,86,20,331
1,32304,1284,2951,14554,2401,19906,778,843,1024,1361,1484,23952,3025,34420,37981,67,18,326
2,32305,871,5071,2722,1128,8921,778,843,1024,1361,1484,2893,871,52936,58352,94,26,278
3,32308,2748,6029,5354,988,12372,778,843,1024,1361,1484,29881,534,88582,97802,82,17,390
4,32309,2945,10046,2762,795,13602,778,843,1024,1361,1484,6233,499,98073,108056,103,24,301
5,32310,1077,3091,3251,1702,8043,778,843,1024,1361,1484,5308,561,50010,55024,86,25,353
6,32311,2677,6089,3156,959,10204,778,843,1024,1361,1484,6335,521,89567,98731,95,24,177
7,32312,3570,11087,2733,864,14684,778,843,1024,1361,1484,10601,652,132699,146360,115,24,207
8,32317,2673,4832,696,252,5779,778,843,1024,1361,1484,2432,285,103719,114142,115,26,243
9,32320,1578,1084,481,547,2112,645,661,753,1078,1304,1578,117,63758,74081,85,15,78
10,32321,726,1386,465,552,2403,629,644,734,913,1021,1281,148,49443,53775,91,32,32
11,32322,1195,1025,373,1162,2559,645,661,753,1078,1304,444,133,56950,66097,79,24,144
12,32324,434,1071,478,320,1869,778,843,1024,1361,1484,2269,166,45500,49390,87,27,78
13,32327,1387,8027,1882,1423,11332,678,738,892,1109,1544,4203,841,71839,79917,103,35,118
14,32328,3902,1121,288,1593,3002,645,661,753,1078,1304,856,87,83832,97146,87,18,160
15,32330,552,139,77,30,245,778,843,1024,1361,1484,122,14,47668,51729,111,30,252
16,32331,767,1355,304,454,2113,629,641,734,966,1271,424,193,52034,57192,88,27,90
17,32332,491,369,126,77,572,778,843,1024,1361,1484,120,48,47308,51343,104,26,234
18,32333,1010,3617,1007,563,5188,778,843,1024,1361,1484,2341,366,58324,63346,89,32,55
19,32336,867,537,97,144,778,629,644,734,930,1042,193,42,61304,67861,87,31,127
20,32340,991,2799,1217,768,4784,629,641,734,966,1271,4528,276,51700,56897,86,20,146
21,32343,1317,985,202,110,1296,778,843,1024,1361,1484,1363,83,67655,73377,99,29,421
22,32344,1301,3902,1191,842,5935,778,843,1024,1361,1484,3004,381,62879,69915,87,28,237
23,32346,2275,756,230,975,1961,678,738,892,1109,1544,286,34,59682,66823,84,29,103
24,32347,772,2527,705,622,3854,629,644,734,930,1042,3641,168,54751,58952,87,20,247
25,32348,887,2811,1067,1226,5103,629,644,734,930,1042,2788,373,49181,53009,86,20,280
26,32350,1113,459,104,124,688,629,641,734,966,1271,216,4,49445,54524,84,27,23
27,32352,712,1713,454,297,2463,778,843,1024,1361,1484,444,157,59294,64378,102,29,210
28,32355,1697,84,29,31,144,678,738,892,1109,1544,134,55,58975,65559,81,28,122
29,32356,533,32,5,27,64,629,644,734,930,1042,11,0,50519,54452,74,34,132
30,32358,1438,793,152,485,1430,678,738,892,1109,1544,253,32,69694,77698,91,34,121
31,32359,1091,856,137,1777,2771,629,644,734,930,1042,152,8,50677,54538,68,25,153
32,32361,993,69,14,13,96,778,843,1024,1361,1484,27,7,60416,67162,86,35,127
33,32399,0,43,142,37,222,778,843,1024,1361,1484,2499,75,63432,69839,60,16,634
34,32401,1205,4673,3722,1782,10177,855,933,1088,1515,1784,14893,803,52094,57747,79,18,163
35,32403,0,1,24,5,30,855,933,1088,1515,1784,4986,53,79292,87893,124,12,37
36,32404,1081,9476,4410,2277,16162,855,933,1088,1515,1784,5576,1405,67238,74757,91,24,71
37,32405,1591,6817,4859,1464,13140,855,933,1088,1515,1784,18842,1039,65372,72563,84,19,159
38,32407,2402,2284,2514,3695,8493,855,933,1088,1515,1784,8492,255,73706,81650,83,17,369
39,32408,2396,4542,3070,7122,14734,855,933,1088,1515,1784,7042,521,85391,94717,85,18,172
40,32409,1235,2744,667,608,4019,855,933,1088,1515,1784,1079,245,75157,83389,97,28,29
41,32410,2896,185,90,504,780,855,933,1088,1515,1784,236,3,75195,83352,76,22,66
42,32413,3726,4481,2462,9866,16809,855,933,1088,1515,1784,6336,207,91948,110471,85,22,232
43,32420,742,737,148,280,1164,484,621,734,974,995,155,18,51162,55460,82,29,61
44,32421,593,1413,346,324,2084,629,644,734,1050,1169,311,105,53361,59019,88,31,13
45,32423,483,434,88,95,617,484,621,734,974,995,35,33,58277,63278,87,23,80
46,32424,656,1669,693,398,2760,629,644,734,1050,1169,2446,149,57441,63572,87,25,100
47,32425,607,3818,1261,800,5878,553,557,734,936,1271,3612,292,48768,53453,83,32,66
48,32426,440,298,69,79,446,484,621,734,974,995,151,17,41631,45170,80,29,77
49,32427,498,384,83,113,581,553,557,734,1050,1271,47,65,44587,48769,89,28,73
50,32428,779,4934,1527,1368,7828,553,557,734,1050,1271,4381,426,53104,57989,84,28,66
51,32430,499,446,61,152,659,629,644,734,1050,1169,71,51,52759,58385,86,26,16
52,32431,565,1444,534,341,2320,484,621,734,974,995,665,96,55423,60207,85,25,84
53,32432,436,23,7,4,34,484,621,734,974,995,8,1,54006,58505,88,25,98
54,32433,494,4888,1602,1593,8084,792,847,966,1358,1594,3646,687,54000,69457,84,37,51
55,32435,599,1864,777,657,3298,792,847,966,1358,1594,1998,199,61949,79841,83,31,22
56,32437,511,244,63,69,376,553,557,734,1050,1271,137,15,47858,52569,82,32,99
57,32438,362,1379,259,475,2113,855,933,1088,1515,1784,144,86,42397,46892,84,36,69
58,32439,1451,3938,1457,1703,7097,792,847,966,1358,1594,1200,396,73270,95096,85,32,51
59,32440,640,1531,638,370,2539,484,621,734,974,995,2268,127,56122,61013,82,24,97
60,32442,509,1228,326,251,1805,484,621,734,974,995,237,40,53273,57797,83,24,85
61,32443,526,966,212,288,1465,484,621,734,974,995,140,82,48795,52858,81,26,49
62,32444,1658,5613,2012,771,8396,855,933,1088,1515,1784,4386,613,84651,93792,96,19,89
63,32445,524,349,99,97,544,484,621,734,974,995,198,38,52392,56814,87,24,67
64,32446,914,2863,996,695,4554,484,621,734,974,995,6233,454,60832,65758,82,21,89
65,32447,0,3,3,1,7,484,621,734,974,995,12,1,39162,42424,73,14,72
66,32448,586,2302,1130,683,4115,484,621,734,974,995,4208,240,42180,45735,77,22,73
67,32449,361,162,30,61,253,629,644,734,1050,1169,19,16,40745,45067,78,26,19
68,32455,432,1635,402,431,2468,792,847,966,1358,1594,516,317,53442,64825,88,33,57
69,32456,2882,1893,751,2161,4805,759,764,1007,1253,1698,2921,116,69390,78903,81,20,79
70,32459,4875,6345,2823,11805,20973,792,847,966,1358,1594,6432,307,119972,154339,89,20,50
71,32460,521,1253,376,293,1923,484,621,734,974,995,635,159,52761,57161,81,23,69
72,32461,15205,31,10,244,285,792,847,966,1358,1594,125,4,217228,279627,88,19,45
73,32462,515,1105,287,386,1778,553,557,734,1050,1271,492,87,49143,55018,83,31,97
74,32463,345,32,8,8,48,553,557,734,1050,1271,39,12,58187,63588,88,29,92
75,32464,436,1466,256,356,2079,553,557,734,936,1271,209,170,55374,62158,82,34,83
76,32465,626,2080,593,1195,3867,759,764,1007,1253,1698,700,325,50412,57368,83,31,66
77,32466,667,1791,355,346,2492,855,933,1088,1515,1784,458,160,59592,66106,95,33,61
78,32501,1425,2280,2357,907,5544,776,840,987,1385,1709,18276,502,58686,66483,73,21,307
79,32502,1861,1135,932,447,2514,776,840,987,1385,1709,12125,172,85532,96827,69,20,269
80,32503,1688,8322,4796,1510,14628,776,840,987,1385,1709,12930,1273,73818,83019,79,17,272
81,32504,1688,6315,3463,937,10714,776,840,987,1385,1709,31162,725,73893,83389,79,21,213
82,32505,796,6218,4596,1815,12629,776,840,987,1385,1709,15438,1755,44213,49746,86,22,300
83,32506,1210,8859,5459,1835,16153,776,840,987,1385,1709,6837,1495,60844,68597,86,22,245
84,32507,2035,7945,5064,6029,19038,776,840,987,1385,1709,6137,1375,76814,87210,83,24,365
85,32508,0,133,336,144,613,776,840,987,1385,1709,1618,282,61727,69402,95,10,467
86,32509,875,9,3,1,12,776,840,987,1385,1709,134,7,67387,75835,95,25,94
87,32511,0,0,0,0,0,776,840,987,1385,1709,6,1,0,0,0,15,70
88,32514,1388,8668,7027,1915,17611,776,840,987,1385,1709,16277,1714,62933,70846,78,23,111
89,32526,1408,11849,4063,1277,17190,776,840,987,1385,1709,8305,696,70244,79652,92,25,183
90,32530,803,21,6,4,30,776,840,987,1385,1709,1,1,61577,68469,59,19,174
91,32531,1021,1957,446,410,2814,977,983,1168,1559,2022,601,179,72861,80652,94,30,152
92,32533,1528,9278,2023,889,12190,776,840,987,1385,1709,6096,711,79692,89641,97,27,230
93,32534,1067,4373,1945,783,7101,776,840,987,1385,1709,6423,562,60759,68423,86,25,238
94,32536,1642,6814,2986,1530,11330,977,983,1168,1559,2022,8954,1183,76670,84927,99,27,89
95,32539,1245,8036,3072,1224,12333,977,983,1168,1559,2022,4704,1206,68492,76120,94,28,103
96,32541,4239,4944,2833,11145,18922,977,983,1168,1559,2022,16684,474,104976,117424,88,19,177
97,32542,2075,134,632,391,1157,977,983,1168,1559,2022,6840,64,65484,70609,93,15,30
98,32544,1293,3,319,37,358,977,983,1168,1559,2022,696,83,68395,75702,118,17,67
99,32548,2390,5441,3825,2798,12064,977,983,1168,1559,2022,17013,673,70583,78195,80,19,188
100,32550,3767,2118,887,6631,9637,792,847,966,1358,1594,6021,203,110660,142598,80,19,350
101,32561,3366,2716,898,2290,5904,776,840,987,1385,1709,6229,254,150607,168196,98,24,169
102,32563,2388,8600,2751,1174,12525,776,840,987,1385,1709,5862,966,94050,104315,93,30,50
103,32564,787,988,249,153,1390,977,983,1168,1559,2022,201,81,79040,87520,91,32,131
104,32565,935,2095,403,327,2825,776,840,987,1385,1709,1654,147,69640,77411,93,31,184
105,32566,2281,12750,4170,3249,20169,776,840,987,1385,1709,5153,1346,89976,100095,100,29,53
106,32567,712,1451,355,334,2140,977,983,1168,1559,2022,368,153,59345,69637,84,40,138
107,32568,817,1041,157,107,1305,776,840,987,1385,1709,412,137,65129,73293,92,36,540
108,32569,1723,3173,1636,527,5336,977,983,1168,1559,2022,3888,330,78730,87136,89,20,64
109,32570,1134,9209,3745,1514,14468,776,840,987,1385,1709,10547,1020,65366,72860,90,28,103
110,32571,1552,11628,2978,1197,15802,776,840,987,1385,1709,6352,851,82747,92516,100,26,79
111,32577,1217,1592,263,135,1990,776,840,987,1385,1709,779,226,70053,78828,95,31,435
112,32578,2530,10256,3701,1242,15199,977,983,1168,1559,2022,10236,1208,101252,112490,96,23,49
113,32579,2288,3066,1402,360,4828,977,983,1168,1559,2022,3918,454,86373,95496,90,21,105
114,32580,2030,1070,641,208,1918,977,983,1168,1559,2022,9567,105,80056,88503,83,18,29
115,32583,1139,8061,2177,1343,11581,776,840,987,1385,1709,4346,1090,72769,80913,92,30,103
116,32601,2350,2101,6151,1125,9377,805,897,1083,1415,1469,16562,647,48119,54917,63,15,441
117,32603,4152,393,1769,209,2371,805,897,1083,1415,1469,3794,251,58114,66488,57,12,299
